Date,Open,Close,Volume,gap,upDown
2010-06-29,3.8,4.778,93831500,25.73,1
2010-06-30,5.158,4.766,85935500,-7.59,-1
2010-07-01,5.0,4.392,41094000,-12.15,-1
2010-07-02,4.6,3.84,25699000,-16.52,-1
2010-07-06,4.0,3.222,34334500,-19.45,-1
2010-07-07,3.28,3.16,34608500,-3.65,-1
2010-07-08,3.228,3.492,38557000,8.17,1
2010-07-09,3.516,3.48,20253000,-1.02,-1
2010-07-12,3.59,3.41,11012500,-5.01,-1
2010-07-13,3.478,3.628,13400500,4.31,1
2010-07-14,3.588,3.968,20976000,10.59,1
2010-07-15,3.988,3.978,18699000,-0.25,0
2010-07-16,4.14,4.128,13106500,-0.28,0
2010-07-19,4.274,4.382,12432500,2.52,1
2010-07-20,4.37,4.06,9126500,-7.09,-1
2010-07-21,4.132,4.044,6262500,-2.12,-1
2010-07-22,4.1,4.2,4789000,2.43,1
2010-07-23,4.238,4.258,3268000,0.47,0
2010-07-26,4.3,4.19,4611000,-2.55,-1
2010-07-27,4.182,4.11,3098500,-1.72,-1
2010-07-28,4.11,4.144,2336000,0.82,0
2010-07-29,4.154,4.07,3080000,-2.02,-1
2010-07-30,4.04,3.988,2134500,-1.28,-1
2010-08-02,4.1,4.184,3590500,2.04,1
2010-08-03,4.2,4.39,6152500,4.52,1
2010-08-04,4.39,4.252,4565000,-3.14,-1
2010-08-05,4.308,4.09,3981000,-5.06,-1
2010-08-06,4.02,3.918,3709500,-2.53,-1
2010-08-09,3.98,3.92,4063500,-1.5,-1
2010-08-10,3.93,3.806,6406500,-3.15,-1
2010-08-11,3.738,3.58,3988000,-4.22,-1
2010-08-12,3.56,3.52,3455000,-1.12,-1
2010-08-13,3.636,3.664,3170000,0.77,0
2010-08-16,3.69,3.756,2429000,1.78,1
2010-08-17,3.792,3.83,2239500,1.0,1
2010-08-18,3.918,3.754,3006500,-4.18,-1
2010-08-19,3.708,3.758,2895500,1.34,1
2010-08-20,3.73,3.82,1480000,2.41,1
2010-08-23,3.818,4.026,5440500,5.44,1
2010-08-24,3.85,3.84,3365500,-0.25,0
2010-08-25,3.832,3.98,2516500,3.86,1
2010-08-26,3.978,3.95,2169000,-0.7,0
2010-08-27,3.95,3.94,1898000,-0.25,0
2010-08-30,3.94,3.974,3664000,0.86,0
2010-08-31,3.932,3.896,1005500,-0.91,0
2010-09-01,3.924,4.09,2474500,4.23,1
2010-09-02,4.074,4.212,2435500,3.38,1
2010-09-03,4.174,4.21,2173000,0.86,0
2010-09-07,4.122,4.108,1217000,-0.33,0
2010-09-08,4.132,4.18,1442000,1.16,1
2010-09-09,4.2,4.142,1881000,-1.38,-1
2010-09-10,4.15,4.034,1933000,-2.79,-1
2010-09-13,4.178,4.144,1804000,-0.81,0
2010-09-14,4.108,4.224,3273500,2.82,1
2010-09-15,4.196,4.396,3423000,4.76,1
2010-09-16,4.43,4.188,13422500,-5.46,-1
2010-09-17,4.204,4.046,5992500,-3.75,-1
2010-09-20,4.134,4.212,4737500,1.88,1
2010-09-21,4.178,4.154,3980000,-0.57,0
2010-09-22,4.174,3.974,4814500,-4.79,-1
2010-09-23,3.978,3.912,3340500,-1.65,-1
2010-09-24,3.99,4.02,2894500,0.75,0
2010-09-27,4.08,4.106,2093000,0.63,0
2010-09-28,4.208,4.28,6072500,1.71,1
2010-09-29,4.238,4.396,9846500,3.72,1
2010-09-30,4.4,4.082,10979000,-7.22,-1
2010-10-01,4.138,4.12,2988500,-0.43,0
2010-10-04,4.086,4.198,3218000,2.74,1
2010-10-05,4.23,4.224,1660000,-0.14,0
2010-10-06,4.212,4.092,1567000,-2.84,-1
2010-10-07,4.114,4.086,705000,-0.68,0
2010-10-08,4.086,4.086,1339000,0.0,0
2010-10-11,4.088,4.048,856000,-0.97,0
2010-10-12,4.04,4.048,1220000,0.19,0
2010-10-13,4.128,4.108,1591000,-0.48,0
2010-10-14,4.2,4.15,1474000,-1.19,-1
2010-10-15,4.178,4.108,1423500,-1.67,-1
2010-10-18,4.104,4.046,814000,-1.41,-1
2010-10-19,4.04,4.01,1226000,-0.74,0
2010-10-20,4.032,4.13,1562500,2.43,1
2010-10-21,4.122,4.15,2085500,0.67,0
2010-10-22,4.136,4.144,805500,0.19,0
2010-10-25,4.188,4.17,592500,-0.42,0
2010-10-26,4.16,4.272,3304500,2.69,1
2010-10-27,4.25,4.2,1782500,-1.17,-1
2010-10-28,4.278,4.238,1121000,-0.93,0
2010-10-29,4.228,4.368,1403000,3.31,1
2010-11-01,4.388,4.282,2279000,-2.41,-1
2010-11-02,4.336,4.25,1612500,-1.98,-1
2010-11-03,4.256,4.354,1863000,2.3,1
2010-11-04,4.52,4.98,9370000,10.17,1
2010-11-05,4.974,4.888,5055000,-1.72,-1
2010-11-08,4.9,4.996,2547500,1.95,1
2010-11-09,5.0,4.926,4782000,-1.47,-1
2010-11-10,4.896,5.872,15302500,19.93,1
2010-11-11,5.72,5.608,9726500,-1.95,-1
2010-11-12,5.65,5.968,13645500,5.62,1
